title,,,,,
Wait Hours: Per Job: by Resource,,,,,
parameters,,,,,
"Resource = ( SDSC-GORDON,  TACC-STAMPEDE )",,,,,
start,end,,,,
1/20/2016,1.8379896,0.66595388,,,
1/21/2016,4.50406667,1.62272825,,,
1/22/2016,2.19247088,3.28495361,,,
1/23/2016,4.16670543,1.95859577,,,
1/24/2016,3.54799077,0.42149113,,,
1/25/2016,1.62414293,0.49891932,,,
1/26/2016,2.24108123,1.94420682,,,
1/27/2016,1.77951927,2.02123566,,,
1/28/2016,1.62797683,1.85695894,,,
1/29/2016,1.23156641,1.80472122,,,
1/30/2016,2.23018946,0.67113139,,,
1/31/2016,0.10720157,0.28114338,,,
2/1/2016,1.45316907,0.68003014,,,
2/2/2016,0.76960962,2.19200579,,,
2/3/2016,1.30268744,2.64993175,,,
2/4/2016,0.87001731,2.21695927,,,
2/5/2016,1.15745799,5.39106414,,,
2/6/2016,1.90446935,5.96528775,,,
2/7/2016,1.26381237,4.73465855,,,
2/8/2016,0.31966962,1.18275826,,,
2/9/2016,35.39678293,2.4548353,,,
2/10/2016,6.6720972,5.85458589,,,
2/11/2016,4.00112228,6.06943664,,,
2/12/2016,1.59745123,7.12267918,,,
2/13/2016,19.20631802,7.34317964,,,
2/14/2016,3.35890926,3.47313971,,,
2/15/2016,2.04896563,2.23653445,,,
2/16/2016,7.5222875,3.98319663,,,
2/17/2016,5.05343788,5.40041705,,,
2/18/2016,3.06780361,6.99178385,,,
2/19/2016,1.64897471,5.12801403,,,
2/20/2016,1.63990755,4.47681736,,,
2/21/2016,1.15900371,3.52802413,,,
2/22/2016,0.69593837,4.02543433,,,
2/23/2016,0.5235726,5.91328803,,,
2/24/2016,1.30553804,5.45788203,,,
2/25/2016,4.85450243,5.95818452,,,
2/26/2016,7.71682776,5.3029327,,,
2/27/2016,1.77937086,4.38935499,,,
2/28/2016,1.38965624,2.43716477,,,
2/29/2016,1.2150819,1.30743543,,,
3/1/2016,0.87707356,2.91934508,,,
3/2/2016,3.69023658,5.03898402,,,
3/3/2016,3.69083433,5.73583211,,,
3/4/2016,13.01805519,4.36578899,,,
3/5/2016,32.96896038,3.36871894,,,
3/6/2016,6.05883307,3.25073873,,,
3/7/2016,1.30498764,2.16485982,,,
3/8/2016,1.19765206,2.69527528,,,
3/9/2016,2.02964001,4.98722717,,,
3/10/2016,2.19032508,3.63187796,,,
3/11/2016,1.62589194,4.46357914,,,
3/12/2016,2.28819802,7.01902506,,,
3/13/2016,1.65202901,4.13006243,,,
3/14/2016,1.18882936,3.33630132,,,
3/15/2016,0.95988066,2.16539246,,,
3/16/2016,0.97118942,3.94681473,,,
3/17/2016,1.3840753,4.14292952,,,
3/18/2016,1.85020547,3.76542993,,,
3/19/2016,1.64401058,3.3711401,,,
3/20/2016,3.43577904,4.16465066,,,
3/21/2016,1.85856013,4.65404583,,,
3/22/2016,2.60274635,5.52930784,,,
3/23/2016,3.76478515,7.97933688,,,
3/24/2016,1.8992604,10.55217833,,,
3/25/2016,3.66393747,9.53730042,,,
3/26/2016,4.34182581,14.68205509,,,
3/27/2016,4.19339187,10.17443121,,,
3/28/2016,4.044892,6.13104882,,,
3/29/2016,5.47257233,9.4951165,,,
3/30/2016,4.01945582,14.53466818,,,
3/31/2016,2.45298376,13.11070891,,,
4/1/2016,7.5290447,14.9782548,,,
4/2/2016,7.66243948,8.24285564,,,
4/3/2016,2.43997076,4.76920777,,,
4/4/2016,1.14283526,2.38280878,,,
4/5/2016,0.3957887,6.0427703,,,
4/6/2016,6.19094368,8.13306535,,,
4/7/2016,4.48156956,8.25636222,,,
4/8/2016,0.38632921,7.03299596,,,
4/9/2016,1.33258395,6.01471299,,,
4/10/2016,0.64895413,4.55097961,,,
4/11/2016,0.24291857,3.6233056,,,
4/12/2016,1.59847404,7.03550357,,,
4/13/2016,0.37760084,8.36917702,,,
4/14/2016,0.24785198,8.06259278,,,
4/15/2016,2.35775696,9.79137077,,,
4/16/2016,11.0570307,10.01926844,,,
4/17/2016,5.7232231,3.80855715,,,
4/18/2016,1.39164034,3.63209423,,,
4/19/2016,1.18613723,4.12885186,,,
4/20/2016,0.15543831,3.07709426,,,
4/21/2016,0.26955875,4.07154356,,,
4/22/2016,3.6521331,3.53059888,,,
4/23/2016,11.08155297,2.45373429,,,
4/24/2016,13.65862809,1.05928161,,,
4/25/2016,2.84952197,1.05857814,,,
4/26/2016,3.82762378,2.25396792,,,
4/27/2016,5.75804823,2.90945995,,,
4/28/2016,16.43355691,2.44281367,,,
4/29/2016,14.26843814,3.38951307,,,
4/30/2016,38.49202092,4.66332933,,,
5/1/2016,49.68948653,1.59900314,,,
5/2/2016,39.29495571,0.36850165,,,
5/3/2016,29.71950636,6.79686454,,,
5/4/2016,19.49714725,10.74650806,,,
5/5/2016,37.37774966,5.20500694,,,
5/6/2016,48.46727782,5.64375586,,,
5/7/2016,71.10742892,3.7584555,,,
5/8/2016,83.83687556,4.10959468,,,
5/9/2016,50.71541615,2.85336517,,,
5/10/2016,50.24004961,4.65561579,,,
5/11/2016,44.70822926,4.54288773,,,
5/12/2016,57.3013938,5.32730123,,,
5/13/2016,7.52966308,5.54094414,,,
5/14/2016,2.40159245,8.06460952,,,
5/15/2016,1.07746101,1.59786989,,,
5/16/2016,0.98049015,0.67974579,,,
5/17/2016,1.180475,0.13739828,,,
---------,,,,,
